Credential Name,Mandatory or Optional,Parameter,Details
Provision password,Mandatory,``provision_password``,"* Password required during OS provisioning for root users. 
* Length must be at least 8 characters and must not contain commas (,), hyphens (-), single quotes ('), double quotes (\"") or backslashes (\\). ``,``,``-``,``'``,``""``, or ``\\``."
PostgreSQL database password,Mandatory,``postgresdb_password``,Password required for PostgreSQL database. Length must be at least 8 characters and must contain only alphanumeric characters (letters and numbers).
BMC (iDRAC) username,Optional,``bmc_username``,Username for BMC (idrac) access. The same credentials must be used across all servers.
BMC (iDRAC) password,Optional,``bmc_password``,"Password required for BMC (idrac) access. Length must be at least 3 characters and must not contain commas (,), hyphens (-), single quotes ('), double quotes (\"") or backslashes (\\)."
PXE Switch username,"Optional

.. note:: If there is a switch connected to the cluster, this paramater becomes mandatory.",``switch_snmp3_username``,"Non-admin SNMPv3 credentials for the PXE switch. If multiple switches are provided, use the same credentials for all switches."
PXE Switch password,"Optional

.. note:: If there is a switch connected to the cluster, this paramater becomes mandatory.",``switch_snmp3_password``,"Password required for SNMPv3 access to the PXE switch. Must not contain commas (,), hyphens (-), single quotes ('), or double quotes (\\\"")."
Pulp container password,Mandatory,``pulp_password``,"Password required for setting up the Pulp container. Length must be at least 8 characters and must not contain commas (,), hyphens (-), single quotes ('), double quotes (\"") or backslashes (\\)."
Docker username,Optional,``docker_username``,Username for the Dockerhub account. This will be used for Docker login.
Docker password,Optional,``docker_password``,"Password for Dockerhub account. Must be at least 8 characters long and can contain letters, numbers, and special characters."
Slurm database password,Mandatory,``slurm_db_password``,"Password for the Slurm database. SlurmDB password must not contain special characters like hyphens (-), single quotes ('), double quotes (\"") or backslashes (\\)."
LDAP directory manager password,Mandatory,``directory_manager_password``,"Password for LDAP Directory Manager. Must not contain hyphens (-), single quotes ('), double quotes (\""), at symbols (@), or backslashes (\\)."
Kerberos admin password in FreeIPA,Mandatory,``kerberos_admin_password``,"Password for Kerberos admin in FreeIPA. Must not contain hyphens (-), single quotes ('), double quotes (\""), at symbols (@), or backslashes (\\)."
OpenLDAP database username,Mandatory,``openldap_db_username``,"Username for OpenLDAP database admin. Must not contain semicolons (;), square brackets ([]), or backticks (`)."
OpenLDAP database password,Mandatory,``openldap_db_password``,"Password for OpenLDAP database admin. Must not contain hyphens (-), single quotes ('), double quotes (\""), at symbols (@), or backslashes (\\)."
OpenLDAP configuration admin username,Mandatory,``openldap_config_username``,"Username for OpenLDAP configuration admin. Must not contain semicolons (;), square brackets ([]), or backticks (`)."
OpenLDAP configuration admin password,Mandatory,``openldap_config_password``,"Password for OpenLDAP configuration admin. Must not contain hyphens (-), single quotes ('), double quotes (\""), at symbols (@), or backslashes (\\)."
OpenLDAP monitor admin password,Mandatory,``openldap_monitor_password``,"Password for OpenLDAP monitor admin. Must not contain hyphens (-), single quotes ('), double quotes (\""), at symbols (@), or backslashes (\\)."
